Site No.,Station Type,Address,Lat,Long,Elev(m),Team,,,
6038W006,IWSS,79 Zodiac Drive Alkimos,-31.60500,115.66324,,Conveyance,,,
6038W007,IWSS,52 Shipmaster Av Alkimos,-31.59965,115.67805,,Conveyance,,,
6031W030,IWSS,27 Media Cr Banksia Grove,-31.70203,115.80447,,Conveyance,,,
6031W029,IWSS,57 Boomerang Loop Banksia Grove,-31.68871,115.80908,,Conveyance,,,
6036W010,IWSS,BUTLER AT 247 LANDBEACH BVD,-31.63173,115.70690,,Conveyance,,,
6034W001,IWSS,5 Revolution Ave Eglington,-31.57686,115.66470,,Conveyance,,,
6065W032,IWSS,4 Meadowbank Way Landsdale,-31.81158,115.85928,,Conveyance,,,
6031W027,IWSS, 69 Mather Dr Neerabup,-31.68004,115.78883,,Conveyance,,,
6031W028,IWSS,53 Avery St Neerabup,-31.68199,115.78250,,Conveyance,,,
6065W033,IWSS,4 Aquantia Pl Wanneroo,-31.75573,115.81929,,Conveyance,,,
6209W002,IWSS,22 Ronlyn Rd Furnissdale,-32.56015,115.76413,,Conveyance,,,
6210W045,IWSS,31 Bookleaf lp Halls Head,-32.55650,115.68567,,Conveyance,,,
6176W002,IWSS,OPPOSITE 16 Navajo Rd Karnup,-32.44290,115.76983,,Conveyance,,,
6180W009,IWSS,281 Lake Valley Drive Lakelands,-32.47095,115.77904,,Conveyance,,,
6210W198,IWSS,9 Barringarra Rd Madora Bay,-32.47655,115.75373,,Conveyance,,,
6210W200,IWSS,14 Pismo St Madora Bay,-32.46649,115.75557,,Conveyance,,,
6210W197,IWSS,9 St Pierre Loop Meadow Spring,-32.48774,115.76425,,Conveyance,,,
6207W003,IWSS,25 South St North Dandalup,-32.52033,115.96749,,Conveyance,,,
6208W060,IWSS,NORTH YUNDERUP AT 168 CULEENUP RD,-32.57790,115.79738,,Conveyance,,,
6208W055,IWSS,29 Sunset Cir Pinjarra,-32.60603,115.85845,,Conveyance,,,
6175W008,IWSS,40 Lookout Vista Singleton,-32.43616,115.76160,,Conveyance,,,
6208W056,IWSS,22 Tanderra Pl South Yunderup,-32.58867,115.77561,,Conveyance,,,
6208W057,IWSS,19 Pegus Mndr South Yunderup ,-32.59365,115.81001,,Conveyance,,,
6122W021,IWSS,BYFORD AT 4 WOOMERA GRANGE,-32.23537,115.99100,,Conveyance,,,
6125W008,IWSS,SERPENTINE AT 2 BUSHEL RD ON WALKER RD,-32.37410,115.96090,,Conveyance,,,
6148W003,IWSS,SHELLEY AT 1 LINKWATER ST,-32.02223,115.89314,,Conveyance,,,
6112W047,IWSS,21 John Street Armadale,-32.15830,116.01532,,Conveyance,,,
6112W050,IWSS,LATHWELL ST H33 Armadale,-32.13437,116.01657,,Conveyance,,,
6171W042,IWSS,Opp. 72 Ridge Bvd Baldivis Baldivis ,-32.35389,115.80595,,Conveyance,,,
6112W048,IWSS,203 Wungong Rd Brookdale,-32.17356,116.00764,,Conveyance,,,
6122W017,IWSS,19 Culham Vista Byford,-32.23938,115.98117,,Conveyance,,,
6122W016,IWSS,15 Camembert St Byford,-32.22351,116.01163,,Conveyance,,,
6125W002,IWSS,BARJADDA ST H19 BYFORD,-32.20968,115.98573,,Conveyance,,,
6155W041,IWSS,33 The Heights Canning Vale ,-32.07874,115.91010,,Conveyance,,,
6155W069,IWSS,CANNING VALE AT 7 RANGEVIEW PL,-32.08175,115.90610,,Conveyance,,,
6101W008,IWSS,EAST VICTORIA PARK AT 121 CANTERBURY TCE,-31.99110,115.89742,,Conveyance,,,
"
6112W058",IWSS,12 MacDougal Way Harrisdale,-32.11662,115.91809,,Conveyance,,,
6056W037,IWSS,HELENA VALLEY AT 43 GREYSTONE TCE,-31.92248,116.03175,,Conveyance,,,
6112W051,IWSS,18 Hilarion Elbow Hilbert,-32.17820,115.99253,,Conveyance,,,
6112W052,IWSS,24 Oaklawn St Hilbert,-32.17826,115.96507,,Conveyance,,,
6123W004,IWSS,25 Haywire Ave Mundijong,-32.28039,116.00043,,Conveyance,,,
6112W028,IWSS,RIVA ENT & BARCELONA  Piara Waters,-32.13877,115.92577,,Conveyance,,,
6125W006,IWSS,SERPENTINE AT 92 RANGEVIEW LOOP,-32.37613,115.98288,,Conveyance,,,
6125W007,IWSS,SERPENTINE AT 4 WELLARD ST,-32.36409,115.97740,,Conveyance,,,
6112W045,IWSS,42 McCubbin Loop Seville Grove,-32.13169,115.98907,,Conveyance,,,
6110W051,IWSS,CLEARWATER DR H22 Southern River,-32.10545,115.95802,,Conveyance,,,
6108W020,IWSS,ROSEWOOD LANE H21 Thornlie,-32.08149,115.95092,,Conveyance,,,
6171W043,IWSS,BALDIVIS AT 23 KEMPEANA WAY,-32.35416,115.81210,,Conveyance,,,
6167W033,IWSS,CASUARINA ORTON RD OPP PRISON,-32.23755,115.87749,,Conveyance,,,
6167W034,IWSS,CASUARINA AT 4 TIANA COVE,-32.23569,115.88244,,Conveyance,,,
6167W035,IWSS,ORELIA AT 27 BERKLEY WAY,-32.23085,115.82776,,Conveyance,,,
6171W044,IWSS,BALDIVIS AT 25 GREYGUM RIDGE,-32.35901,115.79244,,Conveyance,,,
6164W074,IWSS,40 Barfield Rd  Hammond Park,-32.17716,115.83693,,Conveyance,,,
6164W077,IWSS,408 Wattleup Rd Hammond Park,-32.17716,115.83693,,Conveyance,,,
6164W026,IWSS,18 Kooyonga Crs Jandakot,-32.09785,115.85601,,Conveyance,,,
6167W016,IWSS,KWINANA BEACH AT 1 YEATES RD,-32.23202,115.78117,,Conveyance,,,
6163W091,IWSS,3 Darkan Ave North Coogee,-32.08323,115.75940,,Conveyance,,,
6164W075,IWSS,"34 Shala Way Success
34 Marraboor Pl Success",-32.13746,115.85064,,Conveyance,,,
6164W076,IWSS,10 Mercury Street Treeby,-32.11715,115.87290,,Conveyance,,,
6164W078,IWSS,12 Mangrove Street Treeby,-32.11972,115.88279,,Conveyance,,,
6164W079,IWSS,72 Sunstone Blvd Treeby,-32.11992,115.87661,,Conveyance,,,
6167W032,IWSS,62 Honeywood Ave Wandi Wandi,-32.19380,115.86164,,Conveyance,,,
6167W027,IWSS,39 Saltbush Street Wandi,-32.20349,115.86196,,Conveyance,,,
6170W007,IWSS,OPP 9 WOOLCOOT Wellard,-32.25814,115.86323,,Conveyance,,,
6170W005,IWSS,5 Wheelwright Gdns Wellard,-32.27082,115.82957,,Conveyance,,,
6170W010,IWSS,31 BRANTWOOD TURN  Wellard,-32.27153,115.82663,,Conveyance,,,
6164W025,IWSS,12 The Summit Yangebup,-32.11943,115.81421,,Conveyance,,,
6142517,Level,Thomsons lake - Thomsons Lake (6142517),-32.14443,115.82909,,Conveyance,,,
6142520,Level,Bibra Lake - Bibra Lake (6142520),-32.09130,115.82124,,Conveyance,,,
6142522,Level,Kogalup Lake - Kogalup Lake South (6142522),-32.13775,115.83169,,Conveyance,,,
6142523,Level,Lake Yangebup - Lake Yangebup (6142523),-32.12387,115.83158,,Conveyance,,,
6142575,Level,Kogalup Lake - Kogalup Lake North (6142575),-32.13158,115.83160,,Conveyance,,,
D2001015,Level,Hughes St BD - Magnet Rd CB,-32.06276,115.92916,,Conveyance,,,
D2001017,Level,Bertram St BD - M105 (Gay St CB),-31.88087,115.86129,,Conveyance,,,
